 7; 85.71; 14.29; .0427; .0036
 8; 75; 12.5; .0428; .0216
 9; 44.44; 55.56; .0498; .0347
 5; 20; 60; .0579; .0422
 6; 16.67; 83.33; .0869; .0622
 3; 0; 100; 0; .0397
 1; 0; 100; 0; .0108
 9; 66.67; 33.33; .0307; .0301
 10; 60; 40; .0524; .0407
 10; 50; 50; .0382; .052
 2; 50; 50; .0253; .0542
 1; 100; 0; .0686; 0


 2; 50; 50; .1015; .036
 10; 60; 40; .047; .0506
 15; 66.67; 33.33; .0349; .026
 9; 33.33; 66.67; .064; .0217
 6; 83.33; 16.67; .0225; .054
 1; 0; 100; 0; .0253




 1; 0; 100; 0; .0361
 4; 50; 50; .0595; .0307

 1; 0; 100; 0; .0288







 3; 33.33; 66.67; .0145; .0361
 3; 33.33; 33.33; .0144; .0216








 3; 33.33; 66.67; .1632; .0306
 6; 83.33; 16.67; .0354; .036
 15; 53.33; 46.67; .0416; .0527
 7; 57.14; 42.86; .0253; .0505
 2; 50; 50; .0614; .0144
 4; 25; 75; .0975; .0349
 5; 20; 80; .0072; .1064



 1; 0; 100; 0; .0614






 3; 0; 100; 0; .0326
 1; 0; 100; 0; .0506


 1; 0; 100; 0; .018
 2; 50; 50; .0252; .0398
 1; 0; 100; 0; .0109



 3; 66.67; 33.33; .0126; .0543

 6; 33.33; 66.67; .0217; .0406
 11; 27.27; 72.73; .0314; .0673
 32; 46.88; 53.12; .0515; .0523
 29; 34.48; 65.52; .0509; .0498
 19; 26.32; 73.68; .0325; .0534
 9; 44.44; 44.44; .0389; .0696
 9; 44.44; 55.56; .056; .039
 1; 100; 0; .0253; 0
 1; 0; 100; 0; .036
 9; 33.33; 44.44; .0578; .0642
 9; 66.67; 33.33; .0591; .0494
 17; 70.59; 29.41; .0313; .0498
 36; 63.89; 33.33; .04; .0389
 27; 59.26; 37.04; .0262; .0614
 16; 37.5; 62.5; .0422; .0268
 3; 66.67; 33.33; .0434; .0361
 2; 50; 50; .083; .0975
 1; 0; 100; 0; .0289
 3; 66.67; 33.33; .0181; .0615
 3; 33.33; 66.67; .1119; .0362
 8; 37.5; 62.5; .0386; .0477
 5; 40; 60; .0468; .0469
 6; 50; 50; .0421; .0421
 2; 0; 100; 0; .0108
 1; 100; 0; .0217; 0
 1; 0; 0; 0; 0
 1; 0; 100; 0; .0361
 2; 0; 100; 0; .0289
 4; 0; 75; 0; .0289
 10; 50; 50; .0558; .0289
 4; 75; 25; .1113; .0144
 5; 80; 20; .0889; .0108
 2; 100; 0; .0778; 0
 1; 100; 0; .072; 0
 1; 100; 0; .0468; 0
 1; 100; 0; .0181; 0

 1; 0; 100; 0; .0181




 2; 0; 100; 0; .0505
 2; 50; 50; .018; .0615
 4; 75; 25; .0253; .0217
 8; 50; 50; .0551; .0397
 8; 87.5; 12.5; .0419; .036
